,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
73,774,3:01.83,Federal Republic of Germany,,FRG,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 1983,1169
74,774,3:01.83,South Africa,,RSA,4,,Manchester (GBR),31 JUL 2002,1169
75,774,3:01.83,Baylor,,USA,6,,"Sacramento, CA (USA)",11 JUN 2005,1169
76,774,3:01.83,Belgium,,BEL,5,,"Olympic Stadium, London (GBR)",10 AUG 2012,1169
77,774,3:01.83,Louisiana State,,INT,1,,"Austin, TX (USA)",02 APR 2016,1169
78,774,3:01.83,Florida,,INT,4,,"Eugene, OR (USA)",08 JUN 2018,1169
79,780,3:01.84,Baylor,,INT,1,,"Columbia, MO (USA)",17 MAY 1998,1169
80,780,3:01.84,South Africa,,RSA,2,,Melbourne (AUS),25 MAR 2006,1169
81,780,3:01.84,Poland,,POL,5h2,,"DS, Daegu (KOR)",01 SEP 2011,1169
82,780,3:01.84,Colombia,,COL,6h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1169
83,780,3:01.84,Arkansas,,USA,2,,"Eugene, OR (USA)",09 JUN 2017,1169
84,780,3:01.84,Arkansas,,INT,2,,"Eugene, OR (USA)",09 JUN 2017,1169
85,786,3:01.85,Italy,,ITA,4h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1169
86,786,3:01.85,India,,IND,2,,Jakarta (INA),30 AUG 2018,1169
87,786,3:01.85,LSU,,USA,1f1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1169
88,786,3:01.85,Botswana,,BOT,2,,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1169
89,786,3:01.85,Oklahoma,,USA,3sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1169
90,791,3:01.86,Wales,,GBR,3,,Kuala Lumpur (MAS),21 SEP 1998,1168
91,792,3:01.87,United States,,USA,2f2,,Santo Domingo (DOM),09 AUG 2003,1168
92,792,3:01.87,Baylor,,USA,1h3,,"Austin, TX (USA)",10 JUN 2004,1168
93,792,3:01.87,Florida,,USA,3,,"Eugene, OR (USA)",12 JUN 2010,1168
94,795,3:01.88,Africa,,INT,3,,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989,1168
95,795,3:01.88,World Express AC,,INT,1,,"Atlanta, GA (USA)",23 MAY 1998,1168
96,795,3:01.88,Russia,,RUS,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1168
97,795,3:01.88,Bahamas,,BAH,6,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1168
98,795,3:01.88,Belgium,,BEL,4,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1168
99,795,3:01.88,Venezuela,,VEN,1,,Rio de Janeiro (BRA),20 MAY 2012,1168
0,795,3:01.88,Japan,,JPN,1,,Incheon (KOR),02 OCT 2014,1168
1,795,3:01.88,Colombia,,COL,1,,Rio de Janeiro (BRA),16 MAY 2016,1168
2,795,3:01.88,Cuba,,CUB,3h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1168
3,804,3:01.89,Georgia Tech,,INT,1,,"Amherst, MA (USA)",05 JUN 1998,1168
4,804,3:01.89,Texas A&M,,INT,1f1,,"Austin, TX (USA)",29 MAY 2010,1168
5,804,3:01.89,Botswana,,BOT,1,,"Le Grande Stade, Marrakesh (MAR)",14 AUG 2014,1168
6,804,3:01.89,India,,IND,1h,,Patiala (IND),25 JUN 2021,1168
7,808,3:01.90,United States U20,,USA,1,,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1168
8,808,3:01.90,Texas,,INT,4sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1168
9,810,3:01.91,Federal Republic of Germany,,FRG,1,,Torino (ITA),05 AUG 1979,1168
10,810,3:01.91,Australia,,AUS,3sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1168
11,810,3:01.91,United States Red,,USA,1,,"Austin, TX (USA)",09 APR 2005,1168
12,810,3:01.91,Trinidad and Tobago,,TTO,2h2,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1168
13,810,3:01.91,Great Britain & NI,,GBR,3h1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1168
14,810,3:01.91,Iowa,,USA,3,,"Eugene, OR (USA)",09 JUN 2017,1168
15,810,3:01.91,Iowa,,USA,3,,"Eugene, OR (USA)",09 JUN 2017,1168
16,817,3:01.92,Nigeria,,NGR,4sf1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1167
17,817,3:01.92,Poland,,POL,2h1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1167
18,817,3:01.92,Japan,,JPN,3sf2,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1167
19,817,3:01.92,Great Britain & NI,,GBR,3,,"Olympiastadion, München (GER)",24 JUN 2007,1167
20,817,3:01.92,Bahamas,,BAH,2,,Gold Coast (AUS),14 APR 2018,1167
21,822,3:01.93,San Antonio Elite,,USA,1,,"Austin, TX (USA)",30 MAR 2013,1167
22,823,3:01.94,Jamaica,,JAM,3,,Melbourne (AUS),25 MAR 2006,1167
23,823,3:01.94,Bahamas,,BAH,1,,Rio de Janeiro (BRA),28 JUL 2007,1167
24,823,3:01.94,Japan,,JPN,3,,Jakarta (INA),30 AUG 2018,1167
25,826,3:01.95,Russia,,RUS,2,,Fukuoka (JPN),03 SEP 1995,1167
26,826,3:01.95,Russia,,RUS,4h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1167
27,826,3:01.95,Russia,,RUS,4h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1167
28,826,3:01.95,Great Britain & NI,,GBR,1h3,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1167
29,830,3:01.96,Italy,,ITA,4,,"Stadio Luigi Ridolfi, Firenze (ITA)",19 JUN 2005,1167
30,830,3:01.96,Venezuela,,VEN,2h1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1167
31,830,3:01.96,Louisiana State,,INT,1,,"Eugene, OR (USA)",12 JUN 2015,1167
32,830,3:01.96,Great Britain & NI,,GBR,4h1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1167
33,830,3:01.96,Germany,,GER,1,,"Stadion Manfort, Leverkusen (GER)",27 JUN 2021,1167
34,830,3:01.96,Belgium,,BEL,1h2,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1167
35,836,3:01.97,Louisiana State,,INT,2h2,,"Des Moines, IA (USA)",07 JUN 2012,1167
36,836,3:01.97,Jamaica,,JAM,6,,"CIBC, Toronto (CAN)",25 JUL 2015,1167
37,836,3:01.97,Jamaica,,JAM,3,,Gold Coast (AUS),14 APR 2018,1167
38,839,3:01.98,Federal Republic of Germany,,FRG,3,,"Olympic Stadium, Montréal (CAN)",31 JUL 1976,1167
39,839,3:01.98,GW Exp,,INT,4f1,,"Gainesville, FL (USA)",05 APR 2014,1167
40,839,3:01.98,Jamaica,,JAM,4h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1167
41,839,3:01.98,Louisiana State,,INT,2f2,,"Knoxville, TN (USA)",13 MAY 2018,1167
42,843,3:01.99,Poland,,POL,5,,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1166
43,843,3:01.99,United States Red,,USA,2,,"Austin, TX (USA)",05 APR 2003,1166
44,843,3:01.99,Iowa,,INT,2sf1,,"Austin, TX (USA)",05 JUN 2019,1166
45,843,3:01.99,Tiger Olympians,,INT,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",09 APR 2022,1166
46,847,3:02.00,Great Britain & NI,,GBR,5,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1166
47,847,3:02.00,Baylor,,USA,1,,"Des Moines, IA (USA)",28 APR 2007,1166
48,847,3:02.00,Jamaica,,JAM,3,,"Philadelphia, PA (USA)",26 APR 2008,1166
49,847,3:02.00,Kentucky,,INT,3,,"Des Moines, IA (USA)",14 JUN 2008,1166
50,847,3:02.00,Jamaica,,JAM,3,,Mayagüez (PUR),17 JUL 2011,1166
51,847,3:02.00,Georgia,,INT,1f2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1166
